jahr,stichtag,gemeinde_bfs_nr,gemeinde,altersklasse,heimat,geschlecht,anzahl,anzahl_ist_kleingruppe
2020,2020-12-31,230,Winterthur,15-19,Schweiz,weiblich,2030,False
2020,2020-12-31,230,Winterthur,20-24,Ausland,männlich,836,False
2020,2020-12-31,230,Winterthur,20-24,Ausland,weiblich,681,False
2020,2020-12-31,230,Winterthur,20-24,Schweiz,männlich,2857,False
2020,2020-12-31,230,Winterthur,20-24,Schweiz,weiblich,3072,False
2020,2020-12-31,230,Winterthur,25-29,Ausland,männlich,1282,False
2020,2020-12-31,230,Winterthur,25-29,Ausland,weiblich,1211,False
2020,2020-12-31,230,Winterthur,25-29,Schweiz,männlich,3778,False
2020,2020-12-31,230,Winterthur,25-29,Schweiz,weiblich,3934,False
2020,2020-12-31,230,Winterthur,30-34,Ausland,männlich,1602,False
2020,2020-12-31,230,Winterthur,30-34,Ausland,weiblich,1625,False
2020,2020-12-31,230,Winterthur,30-34,Schweiz,männlich,3778,False
2020,2020-12-31,230,Winterthur,30-34,Schweiz,weiblich,3509,False
2020,2020-12-31,230,Winterthur,35-39,Ausland,männlich,1766,False
2020,2020-12-31,230,Winterthur,35-39,Ausland,weiblich,1638,False
2020,2020-12-31,230,Winterthur,35-39,Schweiz,männlich,3152,False
2020,2020-12-31,230,Winterthur,35-39,Schweiz,weiblich,2973,False
2020,2020-12-31,230,Winterthur,40-44,Ausland,männlich,1565,False
2020,2020-12-31,230,Winterthur,40-44,Ausland,weiblich,1326,False
2020,2020-12-31,230,Winterthur,40-44,Schweiz,männlich,2646,False
2020,2020-12-31,230,Winterthur,40-44,Schweiz,weiblich,2663,False
2020,2020-12-31,230,Winterthur,45-49,Ausland,männlich,1228,False
2020,2020-12-31,230,Winterthur,45-49,Ausland,weiblich,1104,False
2020,2020-12-31,230,Winterthur,45-49,Schweiz,männlich,2467,False
2020,2020-12-31,230,Winterthur,45-49,Schweiz,weiblich,2601,False
2020,2020-12-31,230,Winterthur,50-54,Ausland,männlich,1136,False
2020,2020-12-31,230,Winterthur,50-54,Ausland,weiblich,907,False
2020,2020-12-31,230,Winterthur,50-54,Schweiz,männlich,2811,False
2020,2020-12-31,230,Winterthur,50-54,Schweiz,weiblich,2908,False
2020,2020-12-31,230,Winterthur,55-59,Ausland,männlich,922,False
2020,2020-12-31,230,Winterthur,55-59,Ausland,weiblich,770,False
2020,2020-12-31,230,Winterthur,55-59,Schweiz,männlich,2828,False
2020,2020-12-31,230,Winterthur,55-59,Schweiz,weiblich,3070,False
2020,2020-12-31,230,Winterthur,60-64,Ausland,männlich,632,False
2020,2020-12-31,230,Winterthur,60-64,Ausland,weiblich,529,False
2020,2020-12-31,230,Winterthur,60-64,Schweiz,männlich,2334,False
2020,2020-12-31,230,Winterthur,60-64,Schweiz,weiblich,2561,False
2020,2020-12-31,230,Winterthur,65-69,Ausland,männlich,370,False
2020,2020-12-31,230,Winterthur,65-69,Ausland,weiblich,348,False
2020,2020-12-31,230,Winterthur,65-69,Schweiz,männlich,1885,False
2020,2020-12-31,230,Winterthur,65-69,Schweiz,weiblich,2210,False
2020,2020-12-31,230,Winterthur,70-74,Ausland,männlich,304,False
2020,2020-12-31,230,Winterthur,70-74,Ausland,weiblich,304,False
